Tree id,Tree height,Tree leaves,Sample id,Cluster score,Min Lickert value,Max Lickert value,Sample clusters,Model,Accuracy,Accuracy std,Mae Prop,Mae Prop std,Mae Opp,Mae Opp std,Mean arg distance,Mean arg distance std
0,4,24,0,1.0,0,10,6,CRFRegressor,"[0.3548843598262203, 0.3641917965755175, 0.3677664196268847, 0.3509583439815998, 0.354918860209558, 0.3516841298236647, 0.36418029644773825, 0.35381932021466905, 0.38206299514439046, 0.3652702530028111, 0.36205149501661127, 0.3563442371581906, 0.38026322514694605, 0.3734807053411705, 0.35702849476105286, 0.3513231535905954, 0.353479427549195, 0.3541905187835421, 0.33810184002044463, 0.3792173524150268, 0.3463333759263992, 0.3631120623562484, 0.3495272169690774]","[0.02149496537650109, 0.010480623098042223, 0.006729623577903656, 0.027182129346998107, 0.02937637876749616, 0.01040886578531217, 0.02249381075434366, 0.023515221520713926, 0.020524528484816507, 0.019953103066910286, 0.03527797776401615, 0.026642004668657213, 0.017515553276487378, 0.010993641006617563, 0.021904405068565745, 0.018212393994036066, 0.016783252982982288, 0.015049141272704283, 0.013898367982354096, 0.02333299426263533, 0.019714122119395404, 0.02474183388767457, 0.014735674817357729]","[0.6333490927676975, 0.5875849731663686, 0.5668157423971377, 0.5947086634295936, 0.5918502427804754, 0.5918323536928188, 0.6040199335548173, 0.578230258113979, 0.5432570917454639, 0.5468412982366471, 0.6111385126501405, 0.5603577817531307, 0.5704114490161002, 0.5668080756452849, 0.5789815997955532, 0.610440838231536, 0.5811231791464351, 0.5653846153846154, 0.6211270125223614, 0.5560759008433427, 0.5889522105801175, 0.5825543061589574, 0.5911257347303859]","[0.06384248229434684, 0.03433313984677547, 0.04606472361831239, 0.04925539873862646, 0.042286289879727504, 0.046499121872749426, 0.039827013983782245, 0.06644635282737832, 0.03938050338475553, 0.0573687435238587, 0.028782557840216945, 0.06562875168374638, 0.033918302248706775, 0.03988182433857931, 0.03325440258840816, 0.07010412224923368, 0.029117557905849984, 0.03741988961994001, 0.057114515591737365, 0.06265975622672769, 0.058855429544126696, 0.055198642281257065, 0.04415721805757651]","[1.0847009966777406, 1.057555583950933, 1.0593048811653465, 1.0704088934321492, 1.116788908765653, 1.0800172501916687, 1.071170457449527, 1.1233043700485559, 1.0653910043444925, 1.086427293636596, 1.0822003577817534, 1.0961027344748273, 1.063991822131357, 1.0839726552517253, 1.0932679529772553, 1.065749424993611, 1.132540889343215, 1.1172067467416305, 1.0907411193457706, 1.0768119090212114, 1.0922003577817532, 1.1275760286225402, 1.1111257347303858]","[0.05835091310457333, 0.10496681473660785, 0.09029771313967686, 0.10223060959696502, 0.10773786470112737, 0.05532679075947775, 0.1359290536803535, 0.05416847967423973, 0.07131793822934875, 0.12314655356296975, 0.0501709083531519, 0.05377154140631083, 0.0324376892547555, 0.028269747438988423, 0.08522539371322689, 0.14161357773630626, 0.07688368910562604, 0.024635457031167273, 0.05855644968278191, 0.04364959828983026, 0.03852893391404454, 0.06141241829621463, 0.06873326830194063]","[1.7180500894454382, 1.6451405571173012, 1.626120623562484, 1.6651175568617433, 1.7086391515461283, 1.6718496038844877, 1.6751903910043446, 1.7015346281625352, 1.6086480960899565, 1.633268591873243, 1.6933388704318937, 1.6564605162279584, 1.6344032711474572, 1.6507807308970102, 1.6722495527728085, 1.676190263225147, 1.7136640684896498, 1.6825913621262454, 1.711868131868132, 1.6328878098645538, 1.6811525683618709, 1.7101303347814973, 1.7022514694607718]","[0.06634224117654232, 0.1293782091450637, 0.12533933048511484, 0.1488772296009021, 0.11170188942258628, 0.08337888456731311, 0.1504617793135088, 0.1079683004605757, 0.04301396446225172, 0.13232473278466791, 0.059792182861055795, 0.0967904021641196, 0.041460420581493324, 0.05003743000531866, 0.11567573815671688, 0.17331109898670338, 0.08860860040965422, 0.05008807955945799, 0.09662787683615114, 0.10319245471898236, 0.07242731706970672, 0.11530268781753866, 0.061726061731947196]"
0,4,24,0,1.0,0,10,6,RandomRegressor,"[0.09614426271403016, 0.11759008433427039, 0.10258752875031944, 0.1415339892665474, 0.13439560439560438, 0.1283088423204702, 0.1429638384870943, 0.157615001277792, 0.17012458471760797, 0.16691413237924865, 0.22803028366981856, 0.22874137490416563, 0.22767058522872477, 0.242320470227447, 0.24374968055200616, 0.23910299003322258, 0.2544614106823409, 0.23981216457960644, 0.2848536928188091, 0.2995054945054945, 0.32309672885254276, 0.3731158957321748, 0.4128028366981855]","[0.013460961714409433, 0.01518366936650443, 0.01863906880963694, 0.008018593744263723, 0.017597016331120065, 0.006590256368402539, 0.013081735324455218, 0.012112745677107866, 0.012383571860197194, 0.0174440487689254, 0.026750564141950567, 0.020261256532122646, 0.018815318598996093, 0.010193090633213917, 0.016585361397189868, 0.023086214507512075, 0.026257868949214128, 0.019324666504817126, 0.02539895716276747, 0.015177255496564766, 0.01977923586418195, 0.012006729716794005, 0.01949284886670544]","[1.4338832098134424, 1.3773984155379506, 1.3344991055456172, 0.939961666240736, 0.9728392537694864, 1.0392831587017632, 0.9113646818297981, 0.8792064911832354, 0.8541937132634807, 0.8427242524916945, 0.7133797597751086, 0.6897776641962687, 0.7076654740608229, 0.6118515205724508, 0.6082890365448506, 0.5918272425249169, 0.587569639662663, 0.5932954255047278, 0.4974801942243802, 0.49818042422693587, 0.4796192179913111, 0.4238691541017122, 0.4160120112445694]","[0.043105491312192434, 0.03672423523773735, 0.05452851913473326, 0.012901974726617626, 0.051796105484878084, 0.04536705524514259, 0.02864904826282761, 0.039027902297492485, 0.03404945936285784, 0.02398464872330862, 0.06379895965170704, 0.040613052177661035, 0.04081997702034793, 0.03352038340494039, 0.057765329332847955, 0.05307894241003068, 0.03665771826018928, 0.04871743602700833, 0.03368455106020235, 0.0633167932686447, 0.0301278384318013, 0.02726959532301386, 0.0516557941081265]","[3.4006670074111938, 3.041480322003578, 3.032874393048812, 2.56895987733197, 2.6161608740097115, 2.6619102990033223, 2.383841042678252, 2.345912982366471, 2.2247974699718887, 2.1990518783542035, 1.7412241247124967, 1.7347751086123178, 1.7312273191924354, 1.5106861742908255, 1.5017633529261434, 1.5074623051367237, 1.4949578328648099, 1.5003322259136211, 1.343411704574495, 1.3384117045744952, 1.2969646051622796, 1.1482922310247892, 0.9192032967032967]","[0.058965412123799806, 0.04440986535139197, 0.0527332782191708, 0.04501871669253938, 0.08154414550419872, 0.05852552416942793, 0.09216544113498061, 0.09954116854778493, 0.09729201408600989, 0.12938372639452062, 0.0795548507942905, 0.07843325210703342, 0.053861350444485, 0.06387781703276776, 0.06155230141302642, 0.06957532739023195, 0.05848254740618543, 0.04027079715695629, 0.0875624741405542, 0.07983486885476825, 0.05481859184999764, 0.04964976982597838, 0.04891054359959935]","[4.834550217224637, 4.418878737541528, 4.3673734985944295, 3.5089215435727064, 3.5890001277791974, 3.7011934577050853, 3.2952057245080497, 3.2251194735497064, 3.0789911832353694, 3.041776130845898, 2.4546038844876055, 2.4245527728085867, 2.4388927932532587, 2.1225376948632766, 2.110052389470994, 2.09928954766164, 2.0825274725274725, 2.093627651418349, 1.8408918987988756, 1.8365921288014313, 1.7765838231535906, 1.5721613851265013, 1.3352153079478661]","[0.0722048453201223, 0.04286625703269106, 0.10021199341315201, 0.0463876102726386, 0.1317547927813754, 0.0573955989502141, 0.10746447974269521, 0.08951144641902807, 0.07332708359861752, 0.13938520405169036, 0.13213932077859902, 0.10256556545877087, 0.08626603561038255, 0.07317336307657789, 0.10309938150155566, 0.10165142759083963, 0.05157325058053351, 0.06336174203070008, 0.10895441407312677, 0.11536387953178161, 0.0793999590564257, 0.04397789770896438, 0.06553365714665092]"
0,4,24,0,1.0,0,10,6,SuppVecMach,"[0.30092959366215183, 0.3259468438538206, 0.321312292358804, 0.3284513161257347, 0.33595642729363656, 0.3348824431382571, 0.3591905187835421, 0.34632890365448504, 0.3520336059289547, 0.35846920521339126, 0.3649079989777665, 0.3716841298236647, 0.37028430871454127, 0.3738391259902888, 0.3716937132634807, 0.3766981855353948, 0.3827817531305904, 0.3791943521594684, 0.40922438027089186, 0.41208343981599793, 0.4260209557883976, 0.462483388704319, 0.47106440071556344]","[0.005268150128310517, 0.0070974145797371895, 0.01469661574186668, 0.016290879743548373, 0.011185700818468836, 0.022166121930787118, 0.013415648641631056, 0.013971416755245021, 0.010713902179340686, 0.01456050255281249, 0.013319268380003895, 0.018648273674527878, 0.033774654044253206, 0.027688841924591017, 0.017684344802299, 0.019873669686201127, 0.02335288756722282, 0.01918783206091781, 0.013131786225855781, 0.021400668099251875, 0.012222256683555631, 0.017680543314397567, 0.016285991716760536]","[0.6797431638129312, 0.6597508305647841, 0.6240122668029644, 0.5968502427804754, 0.6326028622540251, 0.6276181957577307, 0.5103769486327626, 0.5489368770764119, 0.5575466394071045, 0.520378226424738, 0.4753117812420138, 0.48175313059033986, 0.4910414004600051, 0.4517492972144135, 0.4681740352670586, 0.47460260669563, 0.4417326859187325, 0.44961155123945823, 0.44173524150268334, 0.436024789164324, 0.3888487094301048, 0.3831254791719908, 0.3874086378737541]","[0.03700151749214508, 0.04055285543582398, 0.02037429932782375, 0.040908092110960546, 0.04716728423069277, 0.06031464123540723, 0.022369051431631138, 0.056243899335460285, 0.052132787221709616, 0.01805988099368152, 0.04210062155723971, 0.032122603562567666, 0.05965972287362404, 0.007223481791975206, 0.02998418295055869, 0.055632491913175416, 0.04368409293620423, 0.014678369343152234, 0.03141559263507666, 0.03524431010011673, 0.04186088745638022, 0.02127135408224845, 0.0151519317067251]","[1.4224367492972145, 1.2569505494505493, 1.201549322770253, 1.1293508816764632, 1.1100836953743929, 1.0793349092767697, 1.017851392793253, 1.011063122923588, 0.9828366981855355, 0.9903258369537438, 0.981757602862254, 0.9796230513672374, 0.9706459238435983, 0.964593023255814, 0.9349431382570916, 0.9524444160490673, 0.9449278047533861, 0.9470955788397649, 0.876312292358804, 0.8770214669051878, 0.8169850498338871, 0.7111877076411959, 0.7158292869920777]","[0.028970742093223426, 0.04211757867877568, 0.053529214935839245, 0.036416568194748415, 0.023048781546913113, 0.044094484575455645, 0.040081107501918206, 0.04106128334266048, 0.03154140542973929, 0.04247488288807364, 0.03301630304623925, 0.040213876757831585, 0.06656299387695482, 0.05526272103297758, 0.017431228335616313, 0.0582305538607618, 0.05220426521983234, 0.028249791414324783, 0.042295684694534014, 0.06363210821452843, 0.04031565074325893, 0.044190008690039195, 0.04862728102481294]","[2.1021799131101457, 1.9167013800153334, 1.8255615895732178, 1.7262011244569382, 1.7426865576284183, 1.7069531050345002, 1.528228341426016, 1.5599999999999998, 1.54038333759264, 1.510704063378482, 1.457069384104268, 1.4613761819575772, 1.4616873243036035, 1.4163423204702277, 1.4031171735241503, 1.4270470227446972, 1.3866604906721185, 1.396707130079223, 1.3180475338614872, 1.3130462560695118, 1.2058337592639918, 1.0943131868131868, 1.1032379248658317]","[0.05443924847878013, 0.03442107359579455, 0.06360104074672002, 0.05490730658951864, 0.05999753950063459, 0.07632766407817893, 0.03672730868212945, 0.07689461389793088, 0.0413952285460703, 0.042976702956476945, 0.0679392139481978, 0.05424335413138133, 0.12019868167776751, 0.057668711275138805, 0.0459216413808505, 0.11028072810996405, 0.08791674078114574, 0.03480945572078877, 0.06299459512545974, 0.06793809480336127, 0.06530902271755146, 0.05434016374969478, 0.06277107126269478]"
0,4,24,0,1.0,0,10,6,MeanRegressor,"[0.1922731919243547, 0.22872668029644774, 0.22193649373881935, 0.2362317914643496, 0.23551047789419885, 0.2233663429593662, 0.2580341170457449, 0.25232047022744697, 0.27695757730641457, 0.2948377204191158, 0.314516355737286, 0.32308842320470227, 0.3230928954766164, 0.32309097878865317, 0.32379887554306164, 0.3259487605417838, 0.3123664707385637, 0.33524150268336317, 0.3674124712496806, 0.37599412215691286, 0.3581114234602607, 0.4395943010477894, 0.45997636084845384]","[0.013766451592995738, 0.01202014038260745, 0.018961107504844137, 0.037411156218940624, 0.02931013158483516, 0.017352800053840628, 0.01803864989432861, 0.007781446947565082, 0.0356771719120014, 0.025866307247697527, 0.013881650178673802, 0.013687589547514834, 0.025689786967836453, 0.008814146296176793, 0.011760646294105222, 0.010387165191857234, 0.011454996772232122, 0.022088990341794346, 0.01877851336345699, 0.0236426489321297, 0.015903265074148007, 0.011969994273137967, 0.008901727273386372]","[1.5117582417582416, 1.0164451827242522, 1.0607602862254022, 0.9071211346792742, 0.907794531050345, 0.9335497061078456, 0.7076923076923077, 0.7083963710707897, 0.6748185535394838, 0.6433554817275748, 0.5082213135701508, 0.5039470994122157, 0.49249041656018405, 0.4267403526705852, 0.4231446460516228, 0.42601840020444665, 0.4346051622795809, 0.42171990799897785, 0.37740352670585225, 0.39099028878098646, 0.40813825709174545, 0.4038640429338104, 0.408156146179402]","[0.04976738201929314, 0.05347259914041502, 0.0708754927047656, 0.0924545720802383, 0.04824536928874633, 0.06007363871971106, 0.06893962835987558, 0.06907593874018383, 0.07300890050694671, 0.05165111722574275, 0.039621205718592664, 0.0447848523158756, 0.04570738816743949, 0.019005328455041697, 0.03015754401683923, 0.03962678836888725, 0.022149095353139334, 0.016824877487813167, 0.017541464479798964, 0.018531635302001786, 0.02680091052596104, 0.02114668409639042, 0.03278931618399037]","[1.8024207768975213, 1.6483465371837465, 1.6991138512650141, 1.4811097623306926, 1.5300785842064912, 1.5179114490161, 1.3781618962432916, 1.3874456938410429, 1.280629951443905, 1.2766751852798364, 1.2101418349092767, 1.206932660362893, 1.1765307947866088, 0.9946198568872987, 0.9742780475338615, 0.9932002300025555, 0.9928501150012778, 0.9964049322770254, 0.8716643240480451, 0.877032967032967, 0.8516700741119345, 0.724085100945566, 0.7126169179657552]","[0.08634033278223549, 0.08442057153065609, 0.1046629493210795, 0.07343600538931666, 0.10235530298323467, 0.08096142159109762, 0.09281909796830451, 0.09603969373011728, 0.13627340290123666, 0.12496003455460329, 0.016375369359030053, 0.02961513120053609, 0.04829042184779417, 0.024853055269594335, 0.04366509974812618, 0.017301615196081522, 0.023915008338107918, 0.03853860992714006, 0.034631927950362434, 0.03472233474124388, 0.016618340521909535, 0.01546333285774686, 0.0446266911348502]","[3.314179018655763, 2.664791719907999, 2.7598741374904163, 2.3882308970099673, 2.437873115256836, 2.451461155123946, 2.0858542039355994, 2.0958420649118326, 1.9554485049833885, 1.9200306670074112, 1.7183631484794275, 1.7108797597751084, 1.6690212113467928, 1.421360209557884, 1.3974226935854843, 1.4192186302070025, 1.4274552772808586, 1.418124840276003, 1.2490678507538973, 1.2680232558139535, 1.25980833120368, 1.1279491438793765, 1.1207730641451572]","[0.07680153068429231, 0.09769922037101676, 0.1569883497954092, 0.1596679016548711, 0.12888380998053758, 0.12522209326828135, 0.15200801524088675, 0.15832865103513102, 0.20159388382000387, 0.16942153893243406, 0.033108718033397336, 0.0685215901093539, 0.08111434643448881, 0.027993704890991556, 0.04294180640313158, 0.045049656838425496, 0.0349789985567401, 0.044930801766190236, 0.048626163195690776, 0.035531450222905755, 0.04229578825736761, 0.026627831479666637, 0.05905600160823876]"
0,4,24,0,1.0,0,10,6,ClusterRegressor,"[0.2837860976233069, 0.33237413749041655, 0.303441093789931, 0.3209564272936366, 0.3259487605417838, 0.33882187579862, 0.3523984155379504, 0.3481075900843343, 0.36776705852287245, 0.3595540506005622, 0.38313314592384357, 0.3656210069000766, 0.3702645029389216, 0.3870572450805009, 0.37563442371581907, 0.38670201891132117, 0.3859915665729619, 0.37348070534117045, 0.40851584462049584, 0.39708088423204707, 0.43958663429593664, 0.46497444416049066, 0.4885631229235881]","[0.01720500615308424, 0.008210962778064296, 0.019024195288343735, 0.023423072782132452, 0.017556234925465996, 0.010299430248123818, 0.024590668715203295, 0.016858918355372853, 0.019946804679533962, 0.016331235915742887, 0.016527468780359787, 0.017148779646622755, 0.00871235512170534, 0.016437430075828027, 0.014189828626198752, 0.010413996447264763, 0.015504771927443619, 0.019300049935406707, 0.02347355648236075, 0.024021159858497673, 0.025870878145726136, 0.007569681238241402, 0.016791575199466457]","[0.6690480449782775, 0.6690569895221058, 0.6926322514694608, 0.6275926399182213, 0.6154421160235113, 0.6675913621262459, 0.5453846153846154, 0.5632532583695375, 0.5232187579861999, 0.5768285203168924, 0.4546204957832865, 0.4481650907232303, 0.4610350115001278, 0.44459366215180174, 0.45814975721952467, 0.4581791464349604, 0.4696013289036546, 0.45030667007411196, 0.4195668285203169, 0.4253015589062101, 0.4103066700741119, 0.3845578839764886, 0.35740224891387684]","[0.05066905096061872, 0.0424041543151991, 0.052685331927866036, 0.03530802208633802, 0.03955456813285388, 0.03299552942811036, 0.024485899435447975, 0.02957465954347943, 0.04548384733033061, 0.03634775672221818, 0.030700134218532536, 0.03660038095603854, 0.04013481201149405, 0.04800613237842149, 0.06823450480889318, 0.03555656707092229, 0.02646203616932094, 0.028548355281117703, 0.04488875564151558, 0.012514089748951586, 0.046749554581251844, 0.020373293733395692, 0.03625820315544554]","[1.4810375670840785, 1.207981088678763, 1.241215819064656, 1.2190812675696396, 1.1529702274469718, 1.0775396115512395, 1.0128520316892409, 1.0296498849987223, 0.9789010989010988, 0.9981925632507028, 0.9520955788397648, 0.9974776386404294, 0.9789004600051111, 0.9317307692307691, 0.9384966777408639, 0.9313519039100434, 0.934200102223358, 0.9349488883209813, 0.8534187324303604, 0.8780935343726043, 0.786997188857654, 0.7137183746486072, 0.6990531561461795]","[0.031212234371067824, 0.05893063912320845, 0.04844810485003478, 0.06434157552110802, 0.026308647107268136, 0.024229419031372133, 0.03714720208697696, 0.018502264395793503, 0.04954317424601927, 0.03863530538636353, 0.030925564709916507, 0.036144926511300614, 0.035628792595498546, 0.02894970022870387, 0.047380003424545486, 0.045052422133357264, 0.04558209175841234, 0.05765669857880281, 0.0674072124717314, 0.049122712410022945, 0.02096711849251373, 0.015504127070048999, 0.041830137608808424]","[2.150085612062356, 1.877038078200869, 1.933848070534117, 1.846673907487861, 1.768412343470483, 1.7451309736774854, 1.5582366470738562, 1.5929031433682597, 1.5021198568872989, 1.5750210835675955, 1.4067160746230514, 1.4456427293636596, 1.439935471505239, 1.3763244313825709, 1.3966464349603882, 1.389531050345004, 1.4038014311270124, 1.3852555583950932, 1.272985560950677, 1.3033950932788143, 1.197303858931766, 1.0982762586250958, 1.056455405060056]","[0.061527506150327614, 0.09478883552656384, 0.09401813540315675, 0.07810907494656447, 0.028418584868143405, 0.05371954636559879, 0.051294934965517305, 0.03339406705699245, 0.05808773169335502, 0.0625332648473751, 0.04692606674865503, 0.03999579822794113, 0.03943501037838769, 0.06195168560626414, 0.08821502008786278, 0.0422294367693144, 0.07111422159026849, 0.06701142797929448, 0.08583976049966903, 0.05832353972766216, 0.051381849207140264, 0.021365522332140365, 0.05268344215427015]"
